Pelicula;F.Alquiler;F.Devolucion;Cliente;Empleado
BLANKET BEVERLY;24/05/2005 22:53:30;26/05/2005 22:04:30;CHARLOTTE HUNTER;Mike Hillyer
MYSTIC TRUMAN;24/05/2005 23:08:07;27/05/2005 1:32:07;NELSON CHRISTENSON;Mike Hillyer
MATRIX SNOWMAN;25/05/2005 0:00:40;28/05/2005 0:22:40;ELLEN SIMPSON;Mike Hillyer
WHALE BIKINI;25/05/2005 2:40:21;29/05/2005 6:34:21;BARRY LOVELACE;Mike Hillyer
REDS POCUS;25/05/2005 2:53:02;27/05/2005 1:15:02;JUAN FRALEY;Mike Hillyer
WAIT CIDER;25/05/2005 3:36:50;31/05/2005 0:34:50;BILLY POULIN;Mike Hillyer
EASY GLADIATOR;25/05/2005 3:41:50;30/05/2005 1:13:50;ROBERT BAUGHMAN;Jon Stephens
SONG HEDWIG;25/05/2005 4:01:32;30/05/2005 3:12:32;RAY HOULE;Mike Hillyer
GOLDMINE TYCOON;25/05/2005 4:18:51;27/05/2005 3:58:51;KAY CALDWELL;Mike Hillyer
MANCHURIAN CURTAIN;25/05/2005 4:47:44;01/06/2005 0:58:44;MICHAEL SILVERMAN;Mike Hillyer
MASSAGE IMAGE;25/05/2005 5:39:25;26/05/2005 6:54:25;NEIL RENNER;Jon Stephens
HOPE TOOTSIE;25/05/2005 6:44:53;28/05/2005 11:28:53;CAROL GARCIA;Jon Stephens
SUBMARINE BED;25/05/2005 8:43:32;29/05/2005 6:42:32;JENNIFER DAVIS;Jon Stephens
SWEETHEARTS SUSPECTS;25/05/2005 9:19:16;27/05/2005 4:24:16;MARTIN BALES;Mike Hillyer
DRUMLINE CYCLONE;25/05/2005 9:35:12;29/05/2005 4:16:12;JACQUELINE LONG;Jon Stephens
TEEN APOLLO;25/05/2005 9:47:31;31/05/2005 10:20:31;SYLVIA ORTIZ;Jon Stephens
GREEDY ROOTS;25/05/2005 11:09:48;26/05/2005 12:23:48;JENNIE TERRY;Jon Stephens
ANTHEM LUKE;25/05/2005 14:57:22;01/06/2005 18:32:22;MARGIE WADE;Mike Hillyer
VOYAGE LEGALLY;25/05/2005 15:54:16;03/06/2005 20:18:16;BOBBIE CRAIG;Mike Hillyer
